model,conv_layers,filters,kernel_size,pooling,accuracy,loss
10,3,"[8, 16, 32]","(3, 3)",avg,0.8058733940124512,0.6700506210327148
14,3,"[16, 32, 64]","(3, 3)",avg,0.7959572672843933,0.9563650488853455
9,3,"[8, 16, 32]","(3, 3)",max,0.7814645171165466,1.1374999284744263
15,3,"[16, 32, 64]","(5, 5)",max,0.7803203463554382,1.1367788314819336
11,3,"[8, 16, 32]","(5, 5)",max,0.7795575857162476,0.9909235835075378
12,3,"[8, 16, 32]","(5, 5)",avg,0.7730739712715149,0.9621344804763794
16,3,"[16, 32, 64]","(5, 5)",avg,0.7669717669487,0.9776166081428528
5,2,"[16, 32]","(3, 3)",max,0.7593440413475037,1.3218868970870972
6,2,"[16, 32]","(3, 3)",avg,0.7585812211036682,1.3767720460891724
7,2,"[16, 32]","(5, 5)",max,0.7540045976638794,1.515244483947754
13,3,"[16, 32, 64]","(3, 3)",max,0.7505720853805542,1.3636072874069214
3,2,"[8, 16]","(5, 5)",max,0.7463768124580383,1.6093190908432007
1,2,"[8, 16]","(3, 3)",max,0.7418001294136047,1.1763358116149902
2,2,"[8, 16]","(3, 3)",avg,0.7379862666130066,1.3824864625930786
4,2,"[8, 16]","(5, 5)",avg,0.7337909936904907,1.4931610822677612
8,2,"[16, 32]","(5, 5)",avg,0.7090007662773132,1.8680988550186157
